station,line,towards,countdown,time
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[8, 18, 28, 38, 48, 58, 68]",1638526769.7790859
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[0, 12, 19, 31, 41, 51, 61]",1638526769.7790859
Längenfeldgasse,U4,HEILIGENSTADT,"[0, 6, 9, 14, 19, 24, 29, 34, 39, 44, 49, 54, 59, 64, 69]",1638526769.7790859
Längenfeldgasse,U4,HÜTTELDORF,"[2, 7, 9, 14, 19, 24, 29, 34, 39, 44, 49, 54, 59, 64, 69]",1638526769.7790859
Längenfeldgasse,U6,FLORIDSDORF,"[2, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 69]",1638526769.7790859
Längenfeldgasse,U6,SIEBENHIRTEN,"[4, 9, 10, 14, 18, 22, 26, 30, 34, 38, 42, 46, 50, 54, 58, 62, 66]",1638526769.7790859
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[5, 14, 21, 28, 35, 43, 50, 57, 65]",1638526769.7790859
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[0, 7, 12, 20, 27, 35, 42, 50, 57, 65]",1638526769.7790859
Längenfeldgasse U,12A,Eichenstraße,"[9, 19, 29, 39, 49, 59, 69]",1638526780.1648095
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[7, 13, 25, 35, 45, 55, 65]",1638526780.1648095
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[10, 17, 25, 32, 40, 47, 55, 62]",1638526780.1648095
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[9, 16, 23, 30, 38, 45, 52, 60, 68]",1638526780.1648095
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[7, 17, 27, 37, 47, 57, 67]",1638526780.1648095
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[0, 11, 19, 30, 40, 50, 60]",1638526780.1648095
Längenfeldgasse,U4,HEILIGENSTADT,"[0, 6, 9, 14, 19, 24, 29, 34, 39, 44, 49, 54, 59, 64, 69]",1638526780.1648095
Längenfeldgasse,U4,HÜTTELDORF,"[2, 7, 9, 14, 19, 24, 29, 34, 39, 44, 49, 54, 59, 64, 69]",1638526780.1648095
Längenfeldgasse,U6,FLORIDSDORF,"[2, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 69]",1638526780.1648095
Längenfeldgasse,U6,SIEBENHIRTEN,"[4, 9, 10, 14, 18, 22, 26, 30, 34, 38, 42, 46, 50, 54, 58, 62, 66]",1638526780.1648095
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[4, 14, 20, 27, 35, 43, 50, 57, 65]",1638526780.1648095
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[0, 7, 12, 20, 27, 35, 42, 50, 57, 65]",1638526780.1648095
Längenfeldgasse U,12A,Eichenstraße,"[9, 19, 29, 39, 49, 59, 69]",1638526790.6046004
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[7, 13, 25, 35, 45, 55, 65]",1638526790.6046004
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[10, 17, 25, 32, 40, 47, 55, 62]",1638526790.6046004
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[9, 16, 23, 30, 38, 45, 52, 60, 68]",1638526790.6046004
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[7, 17, 27, 37, 47, 57, 67]",1638526790.6046004
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[0, 11, 19, 30, 40, 50, 60]",1638526790.6046004
Längenfeldgasse,U4,HEILIGENSTADT,"[0, 5, 9, 14, 19, 24, 29, 34, 39, 44, 49, 54, 59, 64, 69]",1638526790.6046004
Längenfeldgasse,U4,HÜTTELDORF,"[2, 7, 9, 14, 19, 24, 29, 34, 39, 44, 49, 54, 59, 64, 69]",1638526790.6046004
Längenfeldgasse,U6,FLORIDSDORF,"[2, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 69]",1638526790.6046004
Längenfeldgasse,U6,SIEBENHIRTEN,"[4, 9, 10, 14, 18, 22, 26, 30, 34, 38, 42, 46, 50, 54, 58, 62, 66]",1638526790.6046004
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[4, 13, 20, 27, 35, 42, 50, 57, 65]",1638526790.6046004
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[0, 6, 12, 20, 27, 35, 42, 50, 57, 65]",1638526790.6046004
Längenfeldgasse U,12A,Eichenstraße,"[9, 18, 28, 38, 48, 58, 68]",1638526800.9617856
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[7, 13, 25, 35, 45, 55, 65]",1638526800.9617856
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[10, 17, 24, 32, 39, 47, 54, 62, 69]",1638526800.9617856
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[9, 16, 22, 30, 37, 45, 52, 60, 67]",1638526800.9617856
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[6, 17, 27, 37, 47, 57, 67]",1638526800.9617856
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[0, 10, 19, 30, 40, 50, 60]",1638526800.9617856
Längenfeldgasse,U4,HEILIGENSTADT,"[0, 4, 8, 13, 18, 23, 28, 33, 38, 43, 48, 53, 58, 63, 68]",1638526800.9617856
Längenfeldgasse,U4,HÜTTELDORF,"[1, 6, 8, 13, 18, 23, 28, 33, 38, 43, 48, 53, 58, 63, 68]",1638526800.9617856
Längenfeldgasse,U6,FLORIDSDORF,"[2, 13, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638526800.9617856
Längenfeldgasse,U6,SIEBENHIRTEN,"[4, 9, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 69]",1638526800.9617856
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[4, 13, 20, 27, 34, 42, 49, 56, 64]",1638526800.9617856
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[0, 6, 11, 19, 26, 34, 41, 49, 56, 64]",1638526800.9617856
Längenfeldgasse U,12A,Eichenstraße,"[9, 18, 28, 38, 48, 58, 68]",1638526811.3717706
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[7, 13, 25, 35, 45, 55, 65]",1638526811.3717706
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[10, 17, 24, 32, 39, 47, 54, 62, 69]",1638526811.3717706
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[9, 15, 22, 30, 37, 45, 52, 60, 67]",1638526811.3717706
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[6, 17, 27, 37, 47, 57, 67]",1638526811.3717706
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[0, 10, 19, 30, 40, 50, 60]",1638526811.3717706
Längenfeldgasse,U4,HEILIGENSTADT,"[0, 4, 8, 13, 18, 23, 28, 33, 38, 43, 48, 53, 58, 63, 68]",1638526811.3717706
Längenfeldgasse,U4,HÜTTELDORF,"[1, 6, 8, 13, 18, 23, 28, 33, 38, 43, 48, 53, 58, 63, 68]",1638526811.3717706
Längenfeldgasse,U6,FLORIDSDORF,"[2, 13, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638526811.3717706
Längenfeldgasse,U6,SIEBENHIRTEN,"[3, 8, 9, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 69]",1638526811.3717706
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[4, 13, 20, 27, 34, 42, 49, 56, 64]",1638526811.3717706
"Flurschützstraße, Längenfeldgasse",WLB,Baden Josefspl.,"[6, 11, 19, 26, 34, 41, 49, 56, 64]",1638526811.3717706
Längenfeldgasse U,12A,Eichenstraße,"[9, 18, 28, 38, 48, 58, 68]",1638526821.773715
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[6, 12, 25, 35, 45, 55, 65]",1638526821.773715
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[9, 17, 24, 32, 39, 47, 54, 62, 69]",1638526821.773715
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[8, 15, 22, 30, 37, 45, 52, 60, 67]",1638526821.773715
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[6, 17, 27, 37, 47, 57, 67]",1638526821.773715
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[0, 10, 18, 30, 40, 50, 60]",1638526821.773715
Längenfeldgasse,U4,HEILIGENSTADT,"[0, 4, 8, 13, 18, 23, 28, 33, 38, 43, 48, 53, 58, 63, 68]",1638526821.773715
Längenfeldgasse,U4,HÜTTELDORF,"[1, 6, 8, 13, 18, 23, 28, 33, 38, 43, 48, 53, 58, 63, 68]",1638526821.773715
Längenfeldgasse,U6,FLORIDSDORF,"[1, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638526821.773715
Längenfeldgasse,U6,SIEBENHIRTEN,"[3, 8, 9, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 69]",1638526821.773715
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[4, 13, 20, 27, 34, 42, 49, 56, 64]",1638526821.773715
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[0, 6, 11, 19, 26, 34, 41, 49, 56, 64]",1638526821.773715
Längenfeldgasse U,12A,Eichenstraße,"[8, 18, 28, 38, 48, 58, 68]",1638526832.150455
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[6, 12, 24, 34, 44, 54, 64]",1638526832.150455
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[9, 16, 24, 31, 39, 46, 54, 61, 69]",1638526832.150455
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[8, 15, 22, 29, 37, 44, 51, 59, 67]",1638526832.150455
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[6, 16, 26, 36, 46, 56, 66]",1638526832.150455
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[9, 18, 29, 39, 49, 59, 69]",1638526832.150455
Längenfeldgasse,U4,HEILIGENSTADT,"[0, 4, 8, 13, 18, 23, 28, 33, 38, 43, 48, 53, 58, 63, 68]",1638526832.150455
Längenfeldgasse,U4,HÜTTELDORF,"[1, 6, 8, 13, 18, 23, 28, 33, 38, 43, 48, 53, 58, 63, 68]",1638526832.150455
Längenfeldgasse,U6,FLORIDSDORF,"[1, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638526832.150455
Längenfeldgasse,U6,SIEBENHIRTEN,"[3, 8, 9, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 69]",1638526832.150455
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[4, 13, 20, 27, 34, 42, 49, 56, 64]",1638526832.150455
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[0, 6, 11, 19, 26, 34, 41, 49, 56, 64]",1638526832.150455
Längenfeldgasse U,12A,Eichenstraße,"[8, 18, 28, 38, 48, 58, 68]",1638526842.4949074
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[6, 12, 24, 34, 44, 54, 64]",1638526842.4949074
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[9, 16, 24, 31, 39, 46, 54, 61, 69]",1638526842.4949074
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[8, 15, 22, 29, 37, 44, 51, 59, 67]",1638526842.4949074
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[6, 16, 26, 36, 46, 56, 66]",1638526842.4949074
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[9, 18, 29, 39, 49, 59, 69]",1638526842.4949074
Längenfeldgasse,U4,HEILIGENSTADT,"[0, 4, 8, 13, 18, 23, 28, 33, 38, 43, 48, 53, 58, 63, 68]",1638526842.4949074
Längenfeldgasse,U4,HÜTTELDORF,"[0, 5, 8, 13, 18, 23, 28, 33, 38, 43, 48, 53, 58, 63, 68]",1638526842.4949074
Längenfeldgasse,U6,FLORIDSDORF,"[1, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638526842.4949074
Längenfeldgasse,U6,SIEBENHIRTEN,"[3, 8, 9, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 69]",1638526842.4949074
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[4, 12, 19, 27, 34, 41, 49, 56, 64]",1638526842.4949074
"Flurschützstraße, Längenfeldgasse",WLB,Baden Josefspl.,"[6, 11, 19, 26, 34, 41, 49, 56, 64]",1638526842.4949074
Längenfeldgasse U,12A,Eichenstraße,"[8, 18, 28, 38, 48, 58, 68]",1638526852.8739438
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[5, 12, 24, 34, 44, 54, 64]",1638526852.8739438
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[9, 15, 24, 31, 39, 46, 54, 61, 69]",1638526852.8739438
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[8, 15, 22, 29, 37, 44, 51, 59, 67]",1638526852.8739438
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[6, 16, 26, 36, 46, 56, 66]",1638526852.8739438
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[9, 18, 29, 39, 49, 59, 69]",1638526852.8739438
Längenfeldgasse,U4,HEILIGENSTADT,"[3, 9, 13, 18, 23, 28, 33, 38, 43, 48, 53, 58, 63, 68]",1638526852.8739438
Längenfeldgasse,U4,HÜTTELDORF,"[0, 5, 8, 13, 18, 23, 28, 33, 38, 43, 48, 53, 58, 63, 68]",1638526852.8739438
Längenfeldgasse,U6,FLORIDSDORF,"[0, 11, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638526852.8739438
Längenfeldgasse,U6,SIEBENHIRTEN,"[3, 8, 9, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 69]",1638526852.8739438
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[4, 12, 19, 27, 34, 41, 49, 56, 64]",1638526852.8739438
"Flurschützstraße, Längenfeldgasse",WLB,Baden Josefspl.,"[6, 11, 19, 26, 34, 41, 49, 56, 64]",1638526852.8739438
Längenfeldgasse U,12A,Eichenstraße,"[8, 18, 27, 37, 47, 57, 67]",1638526863.2097337
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[5, 12, 24, 34, 44, 54, 64]",1638526863.2097337
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[9, 15, 23, 31, 38, 46, 53, 61, 68]",1638526863.2097337
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[8, 14, 21, 29, 36, 44, 51, 59, 66]",1638526863.2097337
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[6, 16, 26, 36, 46, 56, 66]",1638526863.2097337
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[9, 18, 29, 39, 49, 59, 69]",1638526863.2097337
Längenfeldgasse,U4,HEILIGENSTADT,"[3, 9, 12, 17, 22, 27, 32, 37, 42, 47, 52, 57, 62, 67]",1638526863.2097337
Längenfeldgasse,U4,HÜTTELDORF,"[0, 5, 7, 12, 17, 22, 27, 32, 37, 42, 47, 52, 57, 62, 67]",1638526863.2097337
Längenfeldgasse,U6,FLORIDSDORF,"[0, 11, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 63, 67]",1638526863.2097337
Längenfeldgasse,U6,SIEBENHIRTEN,"[2, 7, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638526863.2097337
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[3, 12, 19, 26, 33, 41, 48, 55, 63]",1638526863.2097337
"Flurschützstraße, Längenfeldgasse",WLB,Baden Josefspl.,"[5, 10, 18, 25, 33, 40, 48, 55, 63]",1638526863.2097337
Längenfeldgasse U,12A,Eichenstraße,"[8, 17, 27, 37, 47, 57, 67]",1638526873.5330594
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[5, 12, 24, 34, 44, 54, 64]",1638526873.5330594
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[9, 14, 23, 31, 38, 46, 53, 61, 68]",1638526873.5330594
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[7, 14, 21, 29, 36, 44, 51, 59, 66]",1638526873.5330594
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[6, 16, 26, 36, 46, 56, 66]",1638526873.5330594
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[9, 17, 29, 39, 49, 59, 69]",1638526873.5330594
Längenfeldgasse,U4,HEILIGENSTADT,"[3, 9, 12, 17, 22, 27, 32, 37, 42, 47, 52, 57, 62, 67]",1638526873.5330594
Längenfeldgasse,U4,HÜTTELDORF,"[0, 5, 7, 12, 17, 22, 27, 32, 37, 42, 47, 52, 57, 62, 67]",1638526873.5330594
Längenfeldgasse,U6,FLORIDSDORF,"[0, 11, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 63, 67]",1638526873.5330594
Längenfeldgasse,U6,SIEBENHIRTEN,"[2, 7, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638526873.5330594
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[3, 12, 19, 26, 33, 41, 48, 55, 63]",1638526873.5330594
"Flurschützstraße, Längenfeldgasse",WLB,Baden Josefspl.,"[5, 10, 18, 25, 33, 40, 48, 55, 63]",1638526873.5330594
Längenfeldgasse U,12A,Eichenstraße,"[8, 17, 27, 37, 47, 57, 67]",1638526883.9278595
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[5, 11, 24, 34, 44, 54, 64]",1638526883.9278595
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[8, 14, 23, 31, 38, 46, 53, 61, 68]",1638526883.9278595
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[7, 14, 21, 29, 36, 44, 51, 59, 66]",1638526883.9278595
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[6, 16, 26, 36, 46, 56, 66]",1638526883.9278595
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[9, 17, 29, 39, 49, 59, 69]",1638526883.9278595
Längenfeldgasse,U4,HEILIGENSTADT,"[3, 9, 12, 17, 22, 27, 32, 37, 42, 47, 52, 57, 62, 67]",1638526883.9278595
Längenfeldgasse,U4,HÜTTELDORF,"[0, 5, 7, 12, 17, 22, 27, 32, 37, 42, 47, 52, 57, 62, 67]",1638526883.9278595
Längenfeldgasse,U6,FLORIDSDORF,"[0, 11, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 63, 67]",1638526883.9278595
Längenfeldgasse,U6,SIEBENHIRTEN,"[2, 7, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638526883.9278595
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[3, 12, 19, 26, 33, 41, 48, 55, 63]",1638526883.9278595
"Flurschützstraße, Längenfeldgasse",WLB,Baden Josefspl.,"[5, 10, 18, 25, 33, 40, 48, 55, 63]",1638526883.9278595
Längenfeldgasse U,12A,Eichenstraße,"[8, 17, 27, 37, 47, 57, 67]",1638526894.3062994
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[5, 11, 23, 33, 43, 53, 63]",1638526894.3062994
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[8, 14, 23, 30, 38, 45, 53, 60, 68]",1638526894.3062994
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[7, 14, 21, 28, 36, 43, 50, 58, 66]",1638526894.3062994
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[6, 15, 25, 35, 45, 55, 65]",1638526894.3062994
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[8, 17, 29, 38, 48, 58, 68]",1638526894.3062994
Längenfeldgasse,U4,HEILIGENSTADT,"[3, 9, 12, 17, 22, 27, 32, 37, 42, 47, 52, 57, 62, 67]",1638526894.3062994
Längenfeldgasse,U4,HÜTTELDORF,"[0, 4, 7, 12, 17, 22, 27, 32, 37, 42, 47, 52, 57, 62, 67]",1638526894.3062994
Längenfeldgasse,U6,FLORIDSDORF,"[11, 13, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 63, 67]",1638526894.3062994
Längenfeldgasse,U6,SIEBENHIRTEN,"[2, 7, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638526894.3062994
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[3, 12, 19, 26, 33, 41, 48, 55, 63]",1638526894.3062994
"Flurschützstraße, Längenfeldgasse",WLB,Baden Josefspl.,"[5, 10, 18, 25, 33, 40, 48, 55, 63]",1638526894.3062994
Längenfeldgasse U,12A,Eichenstraße,"[8, 17, 27, 37, 47, 57, 67]",1638526904.6900225
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[4, 11, 23, 33, 43, 53, 63]",1638526904.6900225
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[8, 14, 23, 30, 38, 45, 53, 60, 68]",1638526904.6900225
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[7, 14, 20, 28, 36, 43, 50, 58, 66]",1638526904.6900225
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[5, 15, 25, 35, 45, 55, 65]",1638526904.6900225
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[8, 17, 28, 38, 48, 58, 68]",1638526904.6900225
Längenfeldgasse,U4,HEILIGENSTADT,"[2, 8, 12, 17, 22, 27, 32, 37, 42, 47, 52, 57, 62, 67]",1638526904.6900225
Längenfeldgasse,U4,HÜTTELDORF,"[0, 4, 7, 12, 17, 22, 27, 32, 37, 42, 47, 52, 57, 62, 67]",1638526904.6900225
Längenfeldgasse,U6,FLORIDSDORF,"[11, 13, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 63, 67]",1638526904.6900225
Längenfeldgasse,U6,SIEBENHIRTEN,"[2, 7, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638526904.6900225
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[3, 11, 18, 26, 33, 41, 48, 55, 63]",1638526904.6900225
"Flurschützstraße, Längenfeldgasse",WLB,Baden Josefspl.,"[5, 10, 18, 25, 33, 40, 48, 55, 63]",1638526904.6900225
Längenfeldgasse U,12A,Eichenstraße,"[7, 17, 27, 37, 47, 57, 67]",1638526915.0777783
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[4, 11, 23, 33, 43, 53, 63]",1638526915.0777783
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[8, 13, 23, 30, 38, 45, 53, 60, 68]",1638526915.0777783
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[6, 14, 20, 28, 36, 43, 50, 58, 66]",1638526915.0777783
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[5, 15, 25, 35, 45, 55, 65]",1638526915.0777783
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[8, 17, 28, 38, 48, 58, 68]",1638526915.0777783
Längenfeldgasse,U4,HEILIGENSTADT,"[2, 8, 12, 17, 22, 27, 32, 37, 42, 47, 52, 57, 62, 67]",1638526915.0777783
Längenfeldgasse,U4,HÜTTELDORF,"[0, 4, 7, 12, 17, 22, 27, 32, 37, 42, 47, 52, 57, 62, 67]",1638526915.0777783
Längenfeldgasse,U6,FLORIDSDORF,"[11, 13, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 63, 67]",1638526915.0777783
Längenfeldgasse,U6,SIEBENHIRTEN,"[1, 6, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638526915.0777783
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[2, 11, 18, 26, 33, 40, 48, 55, 63]",1638526915.0777783
"Flurschützstraße, Längenfeldgasse",WLB,Baden Josefspl.,"[4, 10, 18, 25, 33, 40, 48, 55, 63]",1638526915.0777783
Längenfeldgasse U,12A,Eichenstraße,"[7, 17, 26, 36, 46, 56, 66]",1638526925.4503064
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[4, 11, 23, 33, 43, 53, 63]",1638526925.4503064
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[8, 13, 22, 30, 37, 45, 52, 60, 67]",1638526925.4503064
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[6, 14, 20, 28, 35, 43, 50, 58, 65]",1638526925.4503064
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[5, 15, 25, 35, 45, 55, 65]",1638526925.4503064
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[8, 17, 28, 38, 48, 58, 68]",1638526925.4503064
Längenfeldgasse,U4,HEILIGENSTADT,"[2, 8, 11, 16, 21, 26, 31, 36, 41, 46, 51, 56, 61, 66]",1638526925.4503064
Längenfeldgasse,U4,HÜTTELDORF,"[0, 4, 6, 11, 16, 21, 26, 31, 36, 41, 46, 51, 56, 61, 66]",1638526925.4503064
Längenfeldgasse,U6,FLORIDSDORF,"[10, 13, 14, 18, 22, 26, 30, 34, 38, 42, 46, 50, 54, 58, 62, 66]",1638526925.4503064
Längenfeldgasse,U6,SIEBENHIRTEN,"[1, 6, 7, 11, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 63, 67]",1638526925.4503064
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[2, 11, 18, 25, 32, 40, 47, 54, 62]",1638526925.4503064
"Flurschützstraße, Längenfeldgasse",WLB,Baden Josefspl.,"[4, 10, 17, 24, 32, 39, 47, 54, 62]",1638526925.4503064
Längenfeldgasse U,12A,Eichenstraße,"[7, 17, 26, 36, 46, 56, 66]",1638526935.7291274
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[4, 11, 23, 33, 43, 53, 63]",1638526935.7291274
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[7, 13, 22, 30, 37, 45, 52, 60, 67]",1638526935.7291274
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[6, 14, 20, 28, 35, 43, 50, 58, 65]",1638526935.7291274
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[4, 15, 25, 35, 45, 55, 65]",1638526935.7291274
