station,line,towards,countdown,time
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[6, 17, 27, 38, 48, 58, 68]",1638525731.6674716
Längenfeldgasse,U4,HEILIGENSTADT,"[1, 8, 11, 16, 21, 26, 31, 36, 41, 46, 51, 56, 61, 66]",1638525731.6674716
Längenfeldgasse,U4,HÜTTELDORF,"[4, 7, 11, 16, 21, 26, 31, 36, 41, 46, 51, 56, 61, 66]",1638525731.6674716
Längenfeldgasse,U6,FLORIDSDORF,"[5, 7, 10, 14, 18, 22, 26, 30, 34, 38, 42, 46, 50, 54, 58, 62, 66]",1638525731.6674716
Längenfeldgasse,U6,SIEBENHIRTEN,"[0, 2, 3, 7, 11, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 63, 67]",1638525731.6674716
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[0, 8, 15, 22, 32, 37, 44, 52, 59, 67]",1638525731.6674716
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[1, 8, 14, 22, 29, 37, 44, 52, 59, 67]",1638525731.6674716
Längenfeldgasse U,12A,Eichenstraße,"[7, 16, 26, 36, 46, 56, 66]",1638525742.0964782
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[3, 12, 23, 33, 43, 53, 63]",1638525742.0964782
"Flurschützstraße, Längenfeldgasse",62,"Meidling S, Dörfelstraße","[5, 12, 14, 17, 27, 35, 42, 50, 57, 65]",1638525742.0964782
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[1, 11, 19, 27, 33, 40, 48, 55, 63]",1638525742.0964782
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[5, 15, 25, 35, 45, 55, 65]",1638525742.0964782
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[6, 17, 27, 38, 48, 58, 68]",1638525742.0964782
Längenfeldgasse,U4,HEILIGENSTADT,"[1, 8, 11, 16, 21, 26, 31, 36, 41, 46, 51, 56, 61, 66]",1638525742.0964782
Längenfeldgasse,U4,HÜTTELDORF,"[4, 7, 11, 16, 21, 26, 31, 36, 41, 46, 51, 56, 61, 66]",1638525742.0964782
Längenfeldgasse,U6,FLORIDSDORF,"[4, 7, 10, 14, 18, 22, 26, 30, 34, 38, 42, 46, 50, 54, 58, 62, 66]",1638525742.0964782
Längenfeldgasse,U6,SIEBENHIRTEN,"[0, 2, 3, 7, 11, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 63, 67]",1638525742.0964782
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[0, 8, 15, 22, 31, 37, 44, 52, 59, 67]",1638525742.0964782
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[1, 8, 14, 22, 29, 37, 44, 52, 59, 67]",1638525742.0964782
Längenfeldgasse U,12A,Eichenstraße,"[7, 16, 26, 36, 46, 56, 66]",1638525752.5117402
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[2, 13, 22, 32, 42, 52, 62]",1638525752.5117402
"Flurschützstraße, Längenfeldgasse",62,"Meidling S, Dörfelstraße","[4, 12, 14, 16, 27, 34, 42, 49, 57, 64]",1638525752.5117402
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[0, 11, 18, 27, 32, 40, 47, 55, 62, 69]",1638525752.5117402
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[5, 14, 24, 34, 44, 54, 64]",1638525752.5117402
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[6, 17, 27, 37, 47, 57, 67]",1638525752.5117402
Längenfeldgasse,U4,HEILIGENSTADT,"[1, 8, 11, 16, 21, 26, 31, 36, 41, 46, 51, 56, 61, 66]",1638525752.5117402
Längenfeldgasse,U4,HÜTTELDORF,"[4, 7, 11, 16, 21, 26, 31, 36, 41, 46, 51, 56, 61, 66]",1638525752.5117402
Längenfeldgasse,U6,FLORIDSDORF,"[4, 7, 10, 14, 18, 22, 26, 30, 34, 38, 42, 46, 50, 54, 58, 62, 66]",1638525752.5117402
Längenfeldgasse,U6,SIEBENHIRTEN,"[0, 2, 3, 7, 11, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 63, 67]",1638525752.5117402
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[0, 7, 15, 22, 31, 37, 44, 52, 59, 67]",1638525752.5117402
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[1, 8, 14, 22, 29, 37, 44, 52, 59, 67]",1638525752.5117402
Längenfeldgasse U,12A,Eichenstraße,"[7, 16, 26, 36, 46, 56, 66]",1638525762.8047671
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[2, 13, 22, 32, 42, 52, 62]",1638525762.8047671
"Flurschützstraße, Längenfeldgasse",62,"Meidling S, Dörfelstraße","[4, 12, 14, 16, 27, 34, 42, 49, 57, 64]",1638525762.8047671
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[0, 11, 18, 27, 32, 40, 47, 55, 62, 69]",1638525762.8047671
